,Name,mfg_num,lrv,rgb,category,hexcode
90,Alpaca Blanket,BWC-27,LRV 68,"['R 222', 'G 215', 'B 197']",Yellow color family,background-color:#DED7C5;
91,Alpine Frost,BWC-28,LRV 73,"['R 224', 'G 222', 'B 210']",Yellow color family,background-color:#E0DED2;
92,Silver Feather,BWC-29,LRV 71,"['R 219', 'G 220', 'B 211']",Green color family,background-color:#DBDCD3;
93,Diamonds Therapy,BWC-30,LRV 80,"['R 233', 'G 232', 'B 224']",Yellow color family,background-color:#E9E8E0;
94,Amazon Breeze,GR-W03,LRV 82,"['R 235', 'G 235', 'B 214']",Green color family,background-color:#EBEBD6;
95,Winds Breath,GR-W06,LRV 75,"['R 224', 'G 225', 'B 218']",White color family,background-color:#E0E1DA;
96,Angel Feather,GR-W07,LRV 81,"['R 233', 'G 234', 'B 222']",White color family,background-color:#E9EADE;
97,Snowfall White,GR-W09,LRV 84,"['R 238', 'G 237', 'B 224']",White color family,background-color:#EEEDE0;
98,Silver Ash,GR-W11,LRV 71,"['R 221', 'G 219', 'B 208']",White color family,background-color:#DDDBD0;
99,Confident White,GR-W12,LRV 74,"['R 228', 'G 223', 'B 206']",White color family,background-color:#E4DFCE;
100,Polished Marble,GR-W13,LRV 81,"['R 240', 'G 232', 'B 215']",White color family,background-color:#F0E8D7;
101,Nouveau Copper,HDC-AC-01,LRV 15,"['R 160', 'G 91', 'B 66']",Orange color family,background-color:#A05B42;
102,Copper Moon,HDC-AC-02,LRV 36,"['R 194', 'G 153', 'B 120']",,background-color:#C29978;
104,Avenue Tan,HDC-AC-04,LRV 55,"['R 210', 'G 194', 'B 176']",White color family,background-color:#D2C2B0;
105,Cocoa Shell,HDC-AC-05,LRV 15,"['R 126', 'G 102', 'B 87']",Neutral color family,background-color:#7E6657;
107,Jade,HDC-AC-05L,LRV 12,"['R 69', 'G 104', 'B 111']",Blue color family,background-color:#45686F;
108,Campfire Blaze,HDC-AC-06,LRV 23,"['R 182', 'G 118', 'B 86']",Orange color family,background-color:#B67656;
109,Mustard Field,HDC-AC-08,LRV 47,"['R 216', 'G 176', 'B 118']",Yellow color family,background-color:#D8B076;
110,Concord Buff,HDC-AC-09,LRV 64,"['R 226', 'G 206', 'B 176']",Yellow color family,background-color:#E2CEB0;
